station,amp,phi,date,timestamp
DHO,1.1538904,-340.82240295410156,06 03 2011 08:00:01.000,0
ICV,6.366599,-271.06243896484375,06 03 2011 08:00:01.000,0
DHO,1.1654284,-342.3116912841797,06 03 2011 08:00:02.000,1000
ICV,6.5683885,-260.7516555786133,06 03 2011 08:00:02.000,1000
DHO,1.1609622,-10.364372253417969,06 03 2011 08:00:03.000,2000
ICV,6.45205,-269.0333251953125,06 03 2011 08:00:03.000,2000
DHO,1.1311587,-321.1023254394531,06 03 2011 08:00:04.000,3000
ICV,6.4241223,-263.41153717041016,06 03 2011 08:00:04.000,3000
DHO,1.1410065,-8.184707641601562,06 03 2011 08:00:05.000,4000
ICV,6.401217,-256.5531768798828,06 03 2011 08:00:05.000,4000
DHO,1.128954,-21.751708984375,06 03 2011 08:00:06.000,5000
ICV,6.4708376,-266.8364944458008,06 03 2011 08:00:06.000,5000
DHO,1.1251462,-38.61219787597656,06 03 2011 08:00:07.000,6000
ICV,6.580984,-268.81546783447266,06 03 2011 08:00:07.000,6000
DHO,1.1154032,-25.943161010742188,06 03 2011 08:00:08.000,7000
ICV,6.5475397,-267.43182373046875,06 03 2011 08:00:08.000,7000
DHO,1.1159881,-352.89039611816406,06 03 2011 08:00:09.000,8000
ICV,6.727149,-254.36077117919922,06 03 2011 08:00:09.000,8000
DHO,1.103158,-356.75823974609375,06 03 2011 08:00:10.000,9000
ICV,6.4804626,-266.54541778564453,06 03 2011 08:00:10.000,9000
DHO,1.1247821,-342.0646667480469,06 03 2011 08:00:11.000,10000
ICV,6.693268,-252.90912628173828,06 03 2011 08:00:11.000,10000
DHO,1.130832,-36.80029296875,06 03 2011 08:00:12.000,11000
ICV,6.3424807,-263.7250442504883,06 03 2011 08:00:12.000,11000
DHO,1.1411297,-59.5216064453125,06 03 2011 08:00:13.000,12000
ICV,6.4241495,-265.2901611328125,06 03 2011 08:00:13.000,12000
DHO,1.1374485,-21.969100952148438,06 03 2011 08:00:14.000,13000
ICV,6.316401,-276.6019973754883,06 03 2011 08:00:14.000,13000
DHO,1.1441102,-36.05010986328125,06 03 2011 08:00:15.000,14000
ICV,6.371794,-272.90074157714844,06 03 2011 08:00:15.000,14000
DHO,1.1425782,-46.462013244628906,06 03 2011 08:00:16.000,15000
ICV,6.506333,-257.98313903808594,06 03 2011 08:00:16.000,15000
DHO,1.0940709,-12.327980041503906,06 03 2011 08:00:17.000,16000
ICV,6.3756356,-269.89461517333984,06 03 2011 08:00:17.000,16000
DHO,1.1652108,-60.94001770019531,06 03 2011 08:00:18.000,17000
ICV,6.4336143,-271.7725296020508,06 03 2011 08:00:18.000,17000
DHO,1.1592835,-31.53559112548828,06 03 2011 08:00:19.000,18000
ICV,6.3569255,-295.08522033691406,06 03 2011 08:00:19.000,18000
DHO,1.1140915,-46.263282775878906,06 03 2011 08:00:20.000,19000
ICV,6.339717,-302.6403694152832,06 03 2011 08:00:20.000,19000
DHO,1.1726029,-11.168663024902344,06 03 2011 08:00:21.000,20000
ICV,6.342584,-274.7238464355469,06 03 2011 08:00:21.000,20000
DHO,1.1265829,-21.465362548828125,06 03 2011 08:00:22.000,21000
ICV,6.677508,-313.22916412353516,06 03 2011 08:00:22.000,21000
DHO,1.1627877,-320.13304901123047,06 03 2011 08:00:23.000,22000
ICV,6.3844643,-279.7006149291992,06 03 2011 08:00:23.000,22000
DHO,1.1416473,-328.41436767578125,06 03 2011 08:00:24.000,23000
ICV,6.3291106,-248.13580513000488,06 03 2011 08:00:24.000,23000
DHO,1.1593997,-2.8727991580963135,06 03 2011 08:00:25.000,24000
ICV,6.15914,-275.1779508590698,06 03 2011 08:00:25.000,24000
DHO,1.1379349,-351.3954391479492,06 03 2011 08:00:26.000,25000
ICV,6.666649,-274.74118280410767,06 03 2011 08:00:26.000,25000
DHO,1.1082513,-9.379295349121094,06 03 2011 08:00:27.000,26000
ICV,6.3240705,-268.90133786201477,06 03 2011 08:00:27.000,26000
DHO,1.1471529,-353.1677670478821,06 03 2011 08:00:28.000,27000
ICV,6.3849273,-268.47361302375793,06 03 2011 08:00:28.000,27000
DHO,1.1376793,-351.2842712402344,06 03 2011 08:00:29.000,28000
ICV,6.480671,-265.15083360671997,06 03 2011 08:00:29.000,28000
DHO,1.118693,-18.48255157470703,06 03 2011 08:00:30.000,29000
ICV,6.35374,-266.13087272644043,06 03 2011 08:00:30.000,29000
DHO,1.1498295,-15.243988037109375,06 03 2011 08:00:31.000,30000
ICV,6.4899344,-260.312593460083,06 03 2011 08:00:31.000,30000
DHO,1.1520056,-340.71952056884766,06 03 2011 08:00:32.000,31000
ICV,6.2240195,-254.53078174591064,06 03 2011 08:00:32.000,31000
DHO,1.1424754,-43.23797607421875,06 03 2011 08:00:33.000,32000
ICV,6.574653,-256.1560249328613,06 03 2011 08:00:33.000,32000
DHO,1.1241498,-37.062984466552734,06 03 2011 08:00:34.000,33000
ICV,6.3584905,-268.49185967445374,06 03 2011 08:00:34.000,33000
DHO,1.1597482,-29.547740936279297,06 03 2011 08:00:35.000,34000
ICV,6.481821,-262.95708179473877,06 03 2011 08:00:35.000,34000
DHO,1.1623945,-37.95243835449219,06 03 2011 08:00:36.000,35000
ICV,6.269353,-261.14544677734375,06 03 2011 08:00:36.000,35000
DHO,1.1643616,-14.21240234375,06 03 2011 08:00:37.000,36000
ICV,6.5470104,-271.30369555950165,06 03 2011 08:00:37.000,36000
DHO,1.0853634,-17.97760009765625,06 03 2011 08:00:38.000,37000
ICV,6.339387,-270.0524283349514,06 03 2011 08:00:38.000,37000
DHO,1.1279229,-64.84176635742188,06 03 2011 08:00:39.000,38000
ICV,6.464401,-271.07268941402435,06 03 2011 08:00:39.000,38000
DHO,1.1327144,-332.6728820800781,06 03 2011 08:00:40.000,39000
ICV,6.2570667,-275.7684979438782,06 03 2011 08:00:40.000,39000
DHO,1.104177,-348.4619140625,06 03 2011 08:00:41.000,40000
ICV,6.174025,-271.4786002635956,06 03 2011 08:00:41.000,40000
DHO,1.137586,-357.2124786376953,06 03 2011 08:00:42.000,41000
ICV,6.409323,-277.87904691696167,06 03 2011 08:00:42.000,41000
DHO,1.1621767,-16.91998291015625,06 03 2011 08:00:43.000,42000
ICV,6.5386643,-276.11415576934814,06 03 2011 08:00:43.000,42000
DHO,1.1415496,-348.84181213378906,06 03 2011 08:00:44.000,43000
ICV,6.475571,-277.80785751342773,06 03 2011 08:00:44.000,43000
DHO,1.1310403,-314.23374938964844,06 03 2011 08:00:45.000,44000
ICV,6.2055507,-278.2967586517334,06 03 2011 08:00:45.000,44000
DHO,1.1221788,-349.0841827392578,06 03 2011 08:00:46.000,45000
ICV,6.5517793,-278.0134468078613,06 03 2011 08:00:46.000,45000
DHO,1.1048183,-313.4803466796875,06 03 2011 08:00:47.000,46000
ICV,6.611232,-272.6988854408264,06 03 2011 08:00:47.000,46000
DHO,1.1532975,-323.73326873779297,06 03 2011 08:00:48.000,47000
ICV,6.564128,-248.70281982421875,06 03 2011 08:00:48.000,47000
DHO,1.1152117,-331.2958526611328,06 03 2011 08:00:49.000,48000
ICV,6.6494603,-270.96107590198517,06 03 2011 08:00:49.000,48000
DHO,1.1539307,-343.96665954589844,06 03 2011 08:00:50.000,49000
ICV,6.6825767,-266.919237613678,06 03 2011 08:00:50.000,49000
DHO,1.1009651,-319.8013610839844,06 03 2011 08:00:51.000,50000
ICV,6.5261207,-262.8057680130005,06 03 2011 08:00:51.000,50000
DHO,1.1496001,-355.4224090576172,06 03 2011 08:00:52.000,51000
ICV,6.471613,-267.3818881511688,06 03 2011 08:00:52.000,51000
DHO,1.1572589,-293.15921783447266,06 03 2011 08:00:53.000,52000
ICV,6.280946,-267.13304257392883,06 03 2011 08:00:53.000,52000
DHO,1.1406024,-295.9439811706543,06 03 2011 08:00:54.000,53000
ICV,6.4762797,-268.87779426574707,06 03 2011 08:00:54.000,53000
DHO,1.1608642,-292.7237663269043,06 03 2011 08:00:55.000,54000
ICV,6.5314164,-276.51606464385986,06 03 2011 08:00:55.000,54000
DHO,1.1239076,-326.5838088989258,06 03 2011 08:00:56.000,55000
ICV,6.505143,-273.9410948753357,06 03 2011 08:00:56.000,55000
DHO,1.1022302,-336.4680862426758,06 03 2011 08:00:57.000,56000
ICV,6.448395,-272.4973611831665,06 03 2011 08:00:57.000,56000
DHO,1.1111268,-340.3736343383789,06 03 2011 08:00:58.000,57000
ICV,6.6421304,-275.91874408721924,06 03 2011 08:00:58.000,57000
DHO,1.1856425,-357.24088287353516,06 03 2011 08:00:59.000,58000
ICV,6.4416337,-280.9457130432129,06 03 2011 08:00:59.000,58000
DHO,1.1363666,-338.7919387817383,06 03 2011 08:01:00.000,59000
ICV,6.6119413,-317.4986877441406,06 03 2011 08:01:00.000,59000
DHO,1.219916,-1.3421859741210938,06 03 2011 08:01:01.000,60000
ICV,6.2870827,-272.2935256958008,06 03 2011 08:01:01.000,60000
DHO,1.097729,-358.90105843544006,06 03 2011 08:01:02.000,61000
ICV,6.7630906,-260.0632152557373,06 03 2011 08:01:02.000,61000
DHO,1.0782119,-324.3806915283203,06 03 2011 08:01:03.000,62000
ICV,6.482759,-266.24103307724,06 03 2011 08:01:03.000,62000
DHO,1.1649816,-13.374893188476562,06 03 2011 08:01:04.000,63000
ICV,6.5243683,-266.77086210250854,06 03 2011 08:01:04.000,63000
DHO,1.2039707,-7.5272369384765625,06 03 2011 08:01:05.000,64000
ICV,6.399062,-264.7063946723938,06 03 2011 08:01:05.000,64000
DHO,1.1450459,-26.16253662109375,06 03 2011 08:01:06.000,65000
ICV,6.4922137,-276.10810708999634,06 03 2011 08:01:06.000,65000
DHO,1.1611899,-355.0641326904297,06 03 2011 08:01:07.000,66000
ICV,6.5851593,-277.2233953475952,06 03 2011 08:01:07.000,66000
DHO,1.1726874,-47.30262756347656,06 03 2011 08:01:08.000,67000
ICV,6.3606734,-275.0080795288086,06 03 2011 08:01:08.000,67000
DHO,1.1579677,-31.52337646484375,06 03 2011 08:01:09.000,68000
ICV,6.3833504,-279.31290912628174,06 03 2011 08:01:09.000,68000
DHO,1.1832727,-0.18402862548828125,06 03 2011 08:01:10.000,69000
ICV,6.574868,-271.0150899887085,06 03 2011 08:01:10.000,69000
DHO,1.1617225,-357.4745383262634,06 03 2011 08:01:11.000,70000
ICV,6.3400974,-274.7207818031311,06 03 2011 08:01:11.000,70000
DHO,1.1475472,-0.07967783510684967,06 03 2011 08:01:12.000,71000
ICV,6.3944306,-279.75340461730957,06 03 2011 08:01:12.000,71000
DHO,1.1234784,-2.5236358642578125,06 03 2011 08:01:13.000,72000
ICV,6.3943634,-261.8264579772949,06 03 2011 08:01:13.000,72000
DHO,1.1904699,-318.8750457763672,06 03 2011 08:01:14.000,73000
ICV,6.2823977,-275.4235439300537,06 03 2011 08:01:14.000,73000
DHO,1.1432432,-350.3228302001953,06 03 2011 08:01:15.000,74000
ICV,6.445988,-273.02142572402954,06 03 2011 08:01:15.000,74000
DHO,1.1290735,-345.6962127685547,06 03 2011 08:01:16.000,75000
ICV,6.5042014,-273.24132347106934,06 03 2011 08:01:16.000,75000
DHO,1.1648613,-348.2520751953125,06 03 2011 08:01:17.000,76000
ICV,6.616155,-281.6268787384033,06 03 2011 08:01:17.000,76000
